,Hue,Saturation,dominant_hue_1,dominant_sat_1,dominant_val_1,dominant_hue_2,dominant_sat_2,dominant_val_2,dominant_hue_3,dominant_sat_3,dominant_val_3,hue_contrast_c1_c2,hue_contrast_c1_c3,hue_contrast_c1_c4,hue_contrast_c1_c5,hue_contrast_c2_c3,hue_contrast_c2_c4,hue_contrast_c2_c5,hue_contrast_c3_c4,hue_contrast_c3_c5,hue_contrast_c4_c5,like_rate_segmentation,Number_of_Unique_Hues,Pixels_Belong_To_Dominant_Hue,like_rate,Entropy,like_rate_segmentation,michelson_contrast,Wmc,Wmc2,Wmc3,Wmc4,Wmc5,Wmc6,Wmc7,Wmc8,Wmc9,Wmc10,Wmc11,Wmc12,Wmc13,Wmc14,Wmc15,Wmc16,Wmc17,Wmc18,Wmc19,Wmc20,Wmc21,Wmc22,Wmc23,Wmc24,Wmc25,Wmc26,Wmc27,Wmc28,Wmc29,Wmc30,Wmc31,Wmc32,Wmc33,Wmc34,Wmc35,Wmc36,Wmc37,Wmc38,Wmc39,Wmc40,Wmc41,Wmc42,Wmc43,Wmc44,Wmc45,Wmc46,Wmc47,Wmc48,Wmc49,Wmc50,Wmc51,Wmc52,Wmc53,Wmc54,Wmc55,Wmc56,Wmc57,Wmc58,Wmc59,Wmc60,Wmc61,Wmc62,Wmc63,Wmc64,Wmc65,Wmc66,Wmc67,Wmc68,Wmc69,Wmc70,Wmc71,Wmc72,Wmc73,Wmc74,Wmc75,Wmc76,Wmc77,Wmc78,Wmc79,Wmc80,Wmc81,Wmc82,Wmc83,Wmc84,Wmc85,Wmc86,Wmc87,Wmc88,Wmc89,Wmc90,Wmc91,Wmc92,Wmc93,Wmc94,Wmc95,Wmc96,Wmc97,Wmc98,Wmc99,Wmc100,Wmc101,Wmc102,Wmc103,Wmc104,Wmc105,Wmc106,Wmc107,Wmc108,Wmc109,Wmc110,Wmc111,Wmc112,Wmc113,Wmc114,Wmc115,Wmc116,Wmc117,Wmc118,Wmc119,Wmc120,Wmc121,Wmc122,Wmc123,Wmc124,Wmc125,Wmc126,Wmc127,Wmc128,Wmc129,Wmc130,Wmc131,Wmc132,Wmc133,Wmc134,Wmc135,Wmc136,Wmc137,Wmc138,Wmc139,Wmc140,Wmc141,Wmc142,Wmc143,Wmc144,Wmc145,Wmc146,Wmc147,Wmc148,Wmc149,Wmc150
12,34.21004060694726,29.731693581664036,307.5,3.8461538461538463,81.56862745098039,0.0,33.33333333333333,1.1764705882352942,192.00000000000003,11.627906976744194,33.72549019607843,307.5,115.49999999999996,102.07627118644069,227.5000000000002,192.00000000000003,205.4237288135593,79.9999999999998,13.42372881355928,112.00000000000023,125.42372881355949,0.0,141,833292,0.0116753378853051,6.94432706224926,1,1.0,1,0,1,0,2,0,3,2,1,0,2,4,2,3,5,5,5,4,5,5,9,8,5,18,13,20,17,28,24,30,27,45,43,43,46,68,64,83,95,106,99,149,141,170,199,217,308,358,382,387,423,462,586,659,698,900,1008,1244,1379,1642,1898,2582,2949,3375,7138,4717,5906,7213,8424,11921,13989,19494,30801,48804,118230,457815,1069344,119150,55005,34029,21734,15734,11145,8207,6359,5549,4228,3537,3035,2531,2261,1848,1546,1327,1064,992,878,731,651,552,476,437,346,304,293,241,202,188,156,133,120,115,108,84,62,52,51,43,33,31,22,25,23,20,9,15,17,19,13,9,4,8,7,6,1,1,4,3,1,1,1,2,1,2,0,1,2,0,1,1
13,38.260385049683826,91.05718044263777,31.47540983606557,57.54716981132076,83.13725490196076,24.375,36.7816091954023,34.117647058823536,24.071856287425145,86.08247422680412,76.07843137254902,7.100409836065579,7.403553548640421,148.28554633923324,1.4754098360656442,0.3031437125748404,155.38595617529882,5.624999999999937,155.68909988787362,5.9281437125747765,149.76095617529887,0.0,181,439022,0.0148113919048459,4.934903947161191,2,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,5,1,2,3,0,2,1,6,1,8,11,9,20,33,41,63,83,93,114,122,144,143,187,224,212,255,255,2182,349,384,504,622,720,917,1028,1234,1455,1763,2200,2690,3417,4921,7017,10633,18394,57230,714836,33250,15956,10298,6698,4338,2884,1983,1493,1084,823,718,584,501,389,316,227,212,178,148,107,123,108,117,90,98,115,87,64,83,43,29,28,21,11,8,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
14,26.376919338740677,68.88536704425103,356.3265306122449,98.989898989899,77.64705882352942,11.250000000000012,33.33333333333333,18.823529411764707,0.0,0.0,100.0,345.0765306122449,356.3265306122449,340.1103143960287,350.830347406138,11.250000000000012,4.9662162162162025,5.753816793893142,16.216216216216214,5.496183206106871,10.720033010109344,0.0,163,355072,0.0115333877165265,4.854292496739,1,0.9172932330827068,2,1,0,0,0,0,2,0,2,1,1,2,5,3,2,2,3,2,3,5,3,15,9,13,12,15,10,14,15,15,24,28,40,38,50,55,63,70,88,108,189,165,172,182,228,292,334,445,530,680,837,981,1188,1543,4728,2333,2974,3561,4631,5881,7239,9674,12882,16956,22011,30219,42671,70612,250904,1324247,70329,41354,28809,21146,16222,12622,10039,8269,6677,5604,4612,3946,3230,2802,2420,1980,1726,1471,1270,1069,899,744,613,568,488,417,375,338,317,287,241,226,235,201,179,159,131,134,124,125,141,94,111,93,67,66,54,69,54,51,58,48,41,31,29,20,31,23,20,13,10,19,3,10,10,6,6,4,3,2,1,2,1,0,0,0,0,0,0,1
15,41.46105758101852,18.555244984567906,0.0,14.58333333333334,18.823529411764707,341.53846153846155,6.161137440758287,82.74509803921569,0.0,0.0,100.0,341.53846153846155,0.0,330.0,325.7142857142857,341.53846153846155,11.538461538461547,15.824175824175825,330.0,325.7142857142857,4.2857142857142785,0.0,135,992623,0.0147781569626802,3.28196197948451,2,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,4,3,6,3,3,4,5,7,9,8,10,2306,17,19,24,32,41,897,922,61,1800,118,138,218,942,341,408,516,997,935,2280,2202,2291,3717,4747,10286,11682,25843,1174986,21871,9291,8187,4572,4544,3017,2585,1054,771,534,929,533,309,207,197,154,104,84,72,222,629,184,148,21,31,21,17,5,9,4,10,920,6,2,5,2,3,2,2,4,7,919
16,12.341730325508669,14.033545508285501,0.0,0.0,100.0,35.67567567567568,18.13725490196079,80.0,175.1785714285714,61.53846153846153,71.37254901960785,35.67567567567568,175.1785714285714,31.96261682242989,6.2637362637362655,139.50289575289574,3.7130588532457836,29.41193941193941,143.21595460614148,168.91483516483515,25.698880558693627,0.0,172,1063001,0.0064574120641276,7.251960215452519,1,1.0,1,0,0,1,1,2,1,1,1,0,0,0,3,3,2,9,5,5,10,7,6,7,5,6,7,13,14,16,26,28,39,21,43,45,35,39,55,69,81,79,103,101,142,135,157,219,199,238,294,338,416,492,624,717,852,1112,1292,1735,2137,2667,3230,4063,4977,9041,7901,11210,14057,17703,25435,36715,64919,116269,774800,353961,112640,59430,35992,24567,19253,14578,9702,7458,5851,4294,3397,2826,2121,1760,1505,1202,893,764,635,552,429,376,333,257,202,184,145,129,130,96,74,76,59,55,57,48,35,28,26,13,10,16,6,14,11,6,4,6,4,4,2,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,43.77096746341019,18.960709119107513,266.6666666666667,9.374999999999996,37.647058823529406,0.0,0.0,0.0,42.00000000000005,4.608294930875573,85.09803921568627,266.6666666666667,224.66666666666663,14.666666666666654,1.4035087719298076,42.00000000000005,252.00000000000003,265.2631578947369,210.0,223.26315789473682,13.26315789473685,0.0,130,657818,0.0144929391527481,4.76682156797695,2,0.9540229885057472,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,2,0,1,5,2,3,3,7,2,7,5,12,5,14,15,20,18,30,45,42,65,58,90,109,112,150,200,2415,239,312,370,466,513,601,765,1022,1335,1832,2312,3069,4472,6376,10038,17127,36720,159824,877407,41694,19521,11115,7095,4819,3461,2557,1902,1440,1041,927,694,518,446,337,328,222,203,202,152,99,96,89,71,81,63,36,31,36,28,16,22,13,6,9,9,3,2,1,1,1,1,1,0,3,0,2,2,4,0,3,2,1,5,1,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
18,30.270874357521794,16.38606864771589,60.0,10.79545454545454,69.01960784313725,183.33333333333331,17.142857142857142,41.17647058823529,0.0,0.0,0.0,123.33333333333331,60.0,192.0,120.0,183.33333333333331,68.66666666666663,3.3333333333333144,252.0,180.0,71.99999999999993,0.0,100,379771,0.0145251456841987,6.31158630557572,2,0.7586206896551724,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,4,3,7,2,2,4,4,8,8,8,11,16,18,14,15,24,27,25,37,32,35,49,80,96,125,2095,150,176,211,276,454,582,555,623,746,952,1146,1581,1859,2572,3393,4806,6763,9901,15296,25172,47903,127732,525110,69997,33181,18612,11896,8044,5797,3980,3021,2363,1825,1428,1226,917,759,662,558,486,427,380,341,321,225,150,114,119,93,82,71,59,48,50,64,53,53,50,48,53,54,50,67,53,58,39,30,22,8,14,7,3,1,2,0,0,0,0,0,2
19,48.89907618617948,55.96160649157353,120.47808764940237,99.2094861660079,99.21568627450979,9.411764705882355,35.172413793103445,56.862745098039206,11.999999999999964,10.362694300518127,75.68627450980392,111.06632294352,108.47808764940244,196.66476949345486,222.46308882118583,2.588235294117609,307.73109243697485,333.5294117647058,305.14285714285734,330.9411764705883,25.798319327731015,0.0,180,290149,0.0123995146084623,5.1313299897410305,2,0.9921875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,10,15,1935,15,15,31,22,31,47,43,41,40,46,59,49,85,157,141,226,327,443,1425,1141,1199,1801,2645,3836,6097,11785,20614,47770,690163,69691,23104,13216,7069,4083,2868,1824,1403,966,872,473,336,303,222,170,113,91,84,79,88,40,47,41,30,34,34,32,27,13,25,18,10,9
20,12.156164329827714,48.80549901717653,40.0,1.195219123505972,98.43137254901958,35.593220338983045,35.542168674698786,65.09803921568627,33.559322033898304,41.54929577464789,55.68627450980392,4.406779661016955,6.440677966101703,8.69565217391304,7.6000000000000085,2.0338983050847474,4.288872512896084,3.1932203389830534,2.254974207811337,1.159322033898306,1.095652173913031,0.0,46,280138,0.0128502099945175,6.165824871708571,2,0.9318181818181818,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1912,1,3,1,3,16,17,27,35,43,49,75,96,126,149,168,221,250,275,309,496,584,945,1054,1784,2919,5206,9000,20806,65229,667915,87515,22476,10503,5687,3524,2180,1431,955,669,518,405,313,269,268,232,170,180,120,154,154,136,77,51,26,14,7,1,7,0,2
21,36.790290889618795,50.50927186942644,0.0,0.0,0.0,145.71428571428567,72.91666666666667,18.823529411764707,349.35483870967744,29.245283018867923,83.13725490196076,145.71428571428567,349.35483870967744,342.5,137.14285714285714,203.6405529953917,196.7857142857143,8.571428571428555,6.854838709677438,212.2119815668203,205.35714285714292,0.0,158,510981,0.0197273324287694,4.34827216975853,2,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,1,2,3,0,0,5,2,1,0,0,1,5,5,10,0,5,5,4,7,8,5,10,8,15,11,11,30,47,39,28,29,53,41,32,47,40,1994,68,83,83,93,119,134,175,185,250,266,311,388,455,552,710,1003,1347,2106,2584,4035,7478,27977,840447,29462,7949,4833,3395,2328,1768,1242,848,619,476,395,324,236,221,179,155,161,160,102,81,75,66,58,49,30,28,17,9,13,8,3,7,4,2,2,2,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
