,Wmc,Wmc2,Wmc3,Wmc4,Wmc5,Wmc6,Wmc7,Wmc8,Wmc9,Wmc10,Wmc11,Wmc12,Wmc13,Wmc14,Wmc15,Wmc16,Wmc17,Wmc18,Wmc19,Wmc20,Wmc21,Wmc22,Wmc23,Wmc24,Wmc25,Wmc26,Wmc27,Wmc28,Wmc29,Wmc30,Wmc31,Wmc32,Wmc33,Wmc34,Wmc35,Wmc36,Wmc37,Wmc38,Wmc39,Wmc40,Wmc41,Wmc42,Wmc43,Wmc44,Wmc45,Wmc46,Wmc47,Wmc48,Wmc49,Wmc50,Wmc51,Wmc52,Wmc53,Wmc54,Wmc55,Wmc56,Wmc57,Wmc58,Wmc59,Wmc60,Wmc61,Wmc62,Wmc63,Wmc64,Wmc65,Wmc66,Wmc67,Wmc68,Wmc69,Wmc70,Wmc71,Wmc72,Wmc73,Wmc74,Wmc75,Wmc76,Wmc77,Wmc78,Wmc79,Wmc80,Wmc81,Wmc82,Wmc83,Wmc84,Wmc85,Wmc86,Wmc87,Wmc88,Wmc89,Wmc90,Wmc91,Wmc92,Wmc93,Wmc94,Wmc95,Wmc96,Wmc97,Wmc98,Wmc99,Wmc100,Wmc101,Wmc102,Wmc103,Wmc104,Wmc105,Wmc106,Wmc107,Wmc108,Wmc109,Wmc110,Wmc111,Wmc112,Wmc113,Wmc114,Wmc115,Wmc116,Wmc117,Wmc118,Wmc119,Wmc120,Wmc121,Wmc122,Wmc123,Wmc124,Wmc125,Wmc126,Wmc127,Wmc128,Wmc129,Wmc130,Wmc131,Wmc132,Wmc133,Wmc134,Wmc135,Wmc136,Wmc137,Wmc138,Wmc139,Wmc140,Wmc141,Wmc142,Wmc143,Wmc144,Wmc145,Wmc146,Wmc147,Wmc148,Wmc149,Wmc150
91,1,0,1,4,3,2,4,4,1,9,13,2,10,9,15,12,19,17,25,27,32,35,28,58,68,55,71,86,85,100,100,105,138,164,189,218,225,242,301,381,389,467,549,651,743,873,1001,1212,1486,1721,2031,2485,2974,3915,4770,5955,8009,10317,14581,19940,29545,46862,86831,210937,565124,138100,67232,39042,25103,16806,11897,8908,6656,5103,3982,3090,2542,2087,1674,1444,1226,1052,847,681,606,538,495,432,345,336,245,195,180,172,151,115,103,78,80,81,66,58,49,40,35,37,39,31,23,19,15,15,13,14,9,8,5,7,2,5,4,2,2,3,2,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
90,1,0,1,2,2,0,2,0,1,0,1,2,0,0,1,0,4,2,0,1,6,2,1,6,1,4,5,4,10,8,7,14,15,11,15,14,18,29,34,37,39,41,69,58,64,102,97,114,150,180,195,228,285,362,383,470,548,705,821,991,1132,1356,1638,2020,2423,3115,4034,5204,6868,9251,13055,19305,29635,51488,100801,268020,346511,116807,57839,33315,21113,14358,9932,7214,5448,4263,3238,2551,2129,1713,1327,1180,901,768,629,552,471,348,304,207,234,209,153,113,84,76,56,66,53,43,32,22,25,20,20,9,10,8,11,5,6,6,6,4,1,3,4,2,1,2,1,1,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,2
89,2,1,0,0,1,2,0,1,0,3,1,3,2,1,1,0,2,2,6,1,2,5,3,8,4,7,3,4,9,6,2,8,5,7,11,11,6,8,14,14,15,12,15,18,15,19,17,14,22,32,29,41,39,44,39,68,77,82,124,146,180,220,284,379,452,544,700,892,1091,1350,1737,2161,2623,3276,4183,5084,6706,9775,12586,15527,21324,31975,54853,149377,601322,85265,43037,27638,19319,14132,10445,7841,5844,4543,3552,2673,2088,1756,1322,1194,907,791,601,559,453,389,319,288,246,210,199,128,131,125,84,98,75,64,79,54,42,39,39,35,17,17,18,13,13,13,13,10,8,8,4,6,4,2,2,3,2,1,3,2,0,0,1,0,0,1
88,1,0,0,1,1,0,1,0,0,1,6,0,2,0,0,0,2,4,3,5,2,3,4,5,7,9,9,12,14,12,24,10,13,21,29,23,31,38,43,49,61,74,76,71,92,112,137,137,158,178,198,219,266,265,359,350,466,520,560,647,735,870,967,1107,1294,1439,1691,1962,2443,2798,3264,4145,5065,6197,7746,10157,13680,18448,26987,42207,80013,444827,251149,76809,41699,26493,18697,13645,10119,7822,6184,4909,3931,3215,2624,2294,1840,1560,1289,1143,1027,786,710,659,562,531,460,364,337,297,247,206,182,155,146,110,103,97,73,80,71,59,55,36,28,34,28,27,18,22,14,13,11,10,11,2,3,5,5,4,4,1,3,1,2,1,1,1,0,3
87,1,0,2,2,0,1,1,0,1,2,3,5,2,4,4,6,6,12,6,10,9,14,19,13,27,29,29,36,60,59,75,67,87,87,112,137,153,170,197,276,300,362,402,490,582,656,798,893,1115,1323,1545,1875,2160,2547,3093,3550,4260,5267,6268,7889,9304,11097,13479,17087,22485,31758,49826,108147,546857,107447,49691,32229,22578,17289,13776,11146,9248,7321,6163,5198,4286,3540,2801,2427,1998,1722,1435,1263,1083,922,792,656,586,459,444,384,320,269,249,198,158,165,131,132,98,94,80,64,65,57,48,27,35,19,13,30,19,10,11,15,12,9,10,9,3,4,2,3,3,3,3,1,1,1,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,1
86,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,7,1,3,3,3,4,3,9,4,7,5,12,13,14,15,15,12,13,29,22,20,24,42,40,38,47,57,72,77,88,97,115,129,130,188,194,231,263,302,382,413,464,597,670,849,937,1128,1367,1715,1969,2502,3307,4009,4968,6550,8640,11668,16177,24093,36443,61886,126460,466564,234778,90707,49174,30123,20033,13711,9856,7080,5181,3946,2922,2292,1834,1520,1149,921,715,590,497,415,337,275,241,204,176,128,116,103,97,75,67,55,60,50,34,27,30,19,14,15,11,11,4,5,6,7,8,3,4,5,0,1,3,1,3,3,0,0,1,0,2,0,0,1,0,1,0,0,1
85,1,0,0,0,1,1,0,0,1,0,1,2,1,0,0,1,1,1,2,1,3,1,1,2,4,3,5,7,6,6,7,3,6,9,13,12,18,25,20,14,30,36,24,42,41,63,67,61,98,89,95,131,118,165,184,234,273,292,379,405,519,575,774,986,1088,1299,1671,2030,2658,3285,4167,5387,7026,9162,13152,18114,26963,41059,71268,138800,428265,297386,114205,62919,37646,24037,16774,12234,8788,6828,5129,4078,3328,2501,2056,1667,1438,1069,900,773,633,508,450,367,337,243,224,171,160,116,104,90,63,55,57,43,40,29,32,26,18,12,12,19,8,6,7,8,5,3,4,0,3,3,4,1,1,2,1,1,1,0,0,1,0,0,0,1,0,1
84,1,1,0,0,0,1,1,0,3,1,2,1,0,3,2,0,3,0,3,4,1,4,4,4,6,8,7,11,15,12,8,10,20,15,14,26,30,28,26,45,37,43,57,68,83,82,101,111,150,189,187,256,289,310,387,458,566,650,804,1049,1220,1545,1806,2419,3127,4149,5139,6325,8359,11617,17094,29286,68110,781660,107129,36335,20236,13137,9119,6472,4896,3623,2871,2300,1871,1496,1150,996,769,699,590,482,435,386,335,305,250,259,210,187,151,175,117,143,116,106,117,68,63,77,73,68,65,46,35,42,46,38,30,18,21,22,20,15,18,14,15,12,8,12,6,6,10,4,5,6,1,5,2,3,2,2,1,0,2,0,1,0,0,2
83,1,0,0,0,0,5,1,2,3,2,5,3,5,6,10,7,9,10,9,18,22,20,24,31,30,33,43,43,51,49,62,76,72,78,88,107,123,148,172,192,201,244,262,304,374,365,470,537,554,678,768,954,1075,1333,1568,1795,2232,2748,3475,4358,5366,7142,9342,12670,17659,25304,38904,66605,176025,510523,97707,50364,31619,21766,15342,11378,8659,6596,4988,3825,2881,2338,1875,1482,1205,980,812,663,568,477,391,386,335,261,235,215,168,145,128,101,107,99,75,70,57,61,49,44,40,37,41,32,30,26,23,19,21,14,14,16,8,10,7,6,6,3,3,3,4,1,4,3,5,2,2,3,4,0,0,1,1,0,0,1,0,1,0,1,0,1
82,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0,0,0,3,1,0,1,0,2,2,2,2,5,3,1,0,7,2,4,6,8,2,9,6,10,11,13,10,14,24,21,21,38,36,67,77,80,111,141,170,230,259,363,446,607,755,928,1269,1737,2438,3393,5080,8083,14146,28172,76295,695713,226623,47985,20075,10749,6322,4111,2648,1915,1301,898,703,508,399,280,223,185,131,99,100,65,60,34,28,23,17,14,11,15,9,10,3,3,4,5,2,2,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
