,Number_of_Unique_Hues,Pixels_Belong_To_Dominant_Hue,like_rate
132,181,433263,0.0184968095063605
133,43,654340,0.0237974984029729
134,157,593163,0.0114480035257167
135,46,349237,0.0285085022864439
136,74,378574,0.0231190201071292
137,181,146674,0.0313711405849548
138,128,362909,0.0415192027110741
139,60,86902,0.026833360078209998
140,181,223615,0.0171354358344247
141,123,406064,0.0165796707214355
142,68,245900,0.012133304482505
143,64,646264,0.0148086604398276
144,166,366009,0.0143582590577755
145,170,333526,0.0163230734551554
146,132,410576,0.0123017870256153
147,107,663747,0.020460157386131998
148,180,384101,0.0200812655826851
149,181,143120,0.0279077182133229
150,132,713136,0.0341169467658711
151,181,600359,0.0232741884185451
152,112,425449,0.0243747055281363
153,101,454722,0.0378896259692301
154,73,140573,0.0218756081177253
155,181,951349,0.0233804003638677
156,125,375506,0.0172111330731011
157,68,352250,0.0288551136954198
158,178,509912,0.0371764815969027
159,169,382269,0.0427240601978913
160,181,209817,0.0352544269596434
161,63,75954,0.0334331386702594
162,101,446765,0.0286318700756696
163,121,286913,0.0259901235829348
164,181,435684,0.0214074525911903
165,179,136876,0.0201680737569635
166,82,152560,0.0527106082220936
167,103,614147,0.0165183280755119
168,22,1160050,0.0092590988315492
169,112,107204,0.0541832240245963
170,84,487754,0.0190942838791457
171,111,418521,0.0563399240384671
172,159,447520,0.0251840246224947
173,97,331175,0.0378631810189956
174,103,765583,0.0206644653051893
175,64,166835,0.0192174240003489
176,60,483153,0.0245666038767347
177,180,136238,0.0184241083475391
178,86,279946,0.0117619215741263
179,181,153201,0.0328384809872218
180,88,331454,0.0100532640481552
181,83,253625,0.0219968742876304
182,106,323615,0.0339915466799797
183,59,628642,0.0257427188221182
184,122,430801,0.0190624097710443
185,176,802649,0.0197417828656098
186,101,415368,0.0421211318630623
187,181,362726,0.0193974445221835
188,167,571760,0.0211125785871128
189,181,117821,0.0215278055145431
190,121,368659,0.0227085578918182
191,181,365025,0.0216605458295102
192,168,268573,0.0120461412640577
193,72,241149,0.012369527606717
194,109,179191,0.1171596798406034
195,181,584258,0.0303539010698946
196,181,337389,0.0138639060281585
197,178,496014,0.032456183056468996
198,169,549030,0.0235567139076876
199,179,355199,0.0173411472260207
200,176,225620,0.0273568385683236
201,181,529097,0.027372823780626
202,118,357679,0.0147620608716963
203,181,461263,0.011483003758546998
204,171,410755,0.0414817332483881
205,181,600359,0.0379433752060496
206,181,415271,0.0257016610375589
207,181,93483,0.0284548653352276
208,181,1129008,0.0180968172055217
209,181,127791,0.0225640872293592
210,160,198667,0.0370301000421045
211,181,107534,0.0207875871590686
212,181,136696,0.0235326347698481
213,149,273646,0.0349418061113866
214,75,438034,0.0366516199416585
215,175,575166,0.0263859404132031
216,69,693652,0.0207084856337086
217,181,442809,0.0306739742347952
218,181,188220,0.0196365428092484
219,181,385457,0.0492252016447912
220,181,639801,0.0218283720608133
221,181,104727,0.0452579590343208
222,181,519589,0.0304594066935604
223,80,356711,0.0458831729458949
224,167,506912,0.0206703994214293
225,181,127910,0.0232704478209134
226,133,257786,0.0330935541164541
227,180,573601,0.0183410058958661
228,177,122916,0.0269732827924642
229,181,105380,0.0276264676366949
230,83,269128,0.0331175922393189
