,Number_of_Unique_Hues,Pixels_Belong_To_Dominant_Hue,like_rate
89,115,62406,0.0134194732070139
90,180,25672,0.0118022546410404
91,125,56063,0.0140044246032171
92,87,266262,0.0122814547580744
93,180,177166,0.0100735527790947
94,50,66990,0.0114189930475355
95,181,148127,0.0126247698782404
96,140,62407,0.016291141404524
97,126,101766,0.0127285351101164
98,180,52525,0.0164228791138751
99,98,149721,0.0177092662401619
100,179,37790,0.0131432403754024
101,181,112072,0.0198979689271104
102,176,74874,0.0182539572028051
103,180,133475,0.0229033723243978
104,32,75507,0.0261790620017986
105,101,41598,0.0099174214029654
106,100,30745,0.0185382188062499
107,180,124413,0.0146517779464981
108,180,168434,0.0256281847907156
109,179,33391,0.0188265616314839
110,181,55971,0.0339363289691485
111,97,24066,0.0068705757229901
112,180,30179,0.0266669973815197
113,169,85245,0.0279516452658542
114,86,46322,0.0120265239971229
115,181,102917,0.0257247094486464
116,173,120527,0.0147861536694922
117,89,116777,0.0429296678028863
118,127,185065,0.0139260531766278
119,170,26930,0.0263391020975697
120,44,120403,0.0075048400497185
121,160,42703,0.0200786289136675
122,52,79904,0.018703875943002
123,164,91152,0.033078741262517
124,178,151980,0.0180016693075835
125,95,243834,0.0206248877974814
126,144,157397,0.0295111426463962
127,180,21532,0.0209006659896449
128,96,129649,0.019964565377684
129,96,98834,0.0185809244639897
130,136,291915,0.0156684382880865
131,167,59479,0.0164133979186743
132,181,174854,0.0184968095063605
133,43,350691,0.0237974984029729
134,157,146427,0.0114480035257167
135,43,101902,0.0285085022864439
136,68,108708,0.0231190201071292
137,181,130499,0.0313711405849548
138,117,63280,0.0415192027110741
139,50,18980,0.02683336007821
140,181,47459,0.0171354358344247
141,123,127388,0.0165796707214355
142,66,77373,0.012133304482505
143,61,384945,0.0148086604398276
144,166,39620,0.0143582590577755
145,167,34557,0.0163230734551554
146,132,410347,0.0123017870256153
147,107,663747,0.020460157386132
148,180,67961,0.0200812655826851
149,181,141820,0.0279077182133229
150,132,231117,0.0341169467658711
151,181,275783,0.0232741884185451
152,112,193961,0.0243747055281363
153,101,107507,0.0378896259692301
154,73,28743,0.0218756081177253
155,181,188752,0.0233804003638677
156,125,246419,0.0172111330731011
157,68,191931,0.0288551136954198
