,Number_of_Unique_Hues,Pixels_Belong_To_Dominant_Hue,like_rate
202,174,287850,0.0278317919009552
203,173,132271,0.0296154324777613
204,173,154577,0.0144442367266825
205,173,225525,0.0458690874629279
206,179,184722,0.0267154668825382
207,174,184542,0.0412339862567897
208,158,111596,0.025461999221183
209,172,189165,0.0235129238808099
210,178,212013,0.0065704125750831
211,164,286102,0.0217586570765979
212,152,118410,0.0123701621458311
213,178,211387,0.0343322264095044
214,178,161158,0.0207707686158844
215,180,476515,0.0247976686231474
216,178,354685,0.0294414580401969
217,161,448442,0.0159732042433569
218,68,369599,0.0785383098816052
219,179,324832,0.0277693504535441
220,181,218082,0.0220876802081266
221,179,71561,0.0284455060490319
222,170,247052,0.0181917346779731
223,168,84399,0.0162335592110776
224,167,189077,0.0189930057219424
225,172,8120,0.0354659194389315
226,176,237953,0.0263695599722103
227,64,144690,0.0262655426964384
228,155,65126,0.0236929871553896
229,168,99280,0.021588707754429
230,178,201812,0.0158356236833299
231,181,187702,0.0234734301540769
232,160,185690,0.0245581284334484
233,99,7572,0.0217305116333311
234,172,94759,0.0262992112352171
235,164,232483,0.0162833538698546
236,155,164416,0.0159538156634724
237,174,292769,0.0206821696158902
238,129,431079,0.0464799428000906
239,126,4725,0.0222823901558504
240,181,130165,0.020668543684699
241,128,112657,0.013560826283128
242,177,164156,0.0157268467446977
243,129,6297,0.034535858989091
244,171,134396,0.0172471747552182
245,154,20804,0.0352935113952196
246,174,473392,0.0119762625709389
247,144,97723,0.017552003164787
248,178,299226,0.0265533018504733
249,171,65551,0.042880012138122
250,177,477326,0.0155300160821607
251,167,438164,0.0196204698785226
252,163,46411,0.0417819239026675
253,180,193502,0.0238444241816251
254,179,151864,0.03361432882094
255,114,260196,0.0643520611479539
256,180,86333,0.0356896752072477
257,170,222008,0.022811220286457
258,94,253967,0.1066920949699781
259,175,120500,0.0170490839143944
260,180,187956,0.041975232814235
261,149,57428,0.0245407634130243
262,171,85000,0.038016800310439
263,105,297283,0.0294446666814703
264,125,499816,0.0175225748962248
265,166,128800,0.0391834564532952
266,153,217484,0.0142953884450866
267,169,11933,0.0408216549953263
268,177,153652,0.0560250891508436
269,137,117232,0.0199029059679016
270,166,206962,0.0300351361373271
271,172,211669,0.0235605347055481
272,143,375287,0.0184374604191282
273,147,408237,0.0165880664738793
274,142,126934,0.0427110396269635
275,179,225052,0.0132641810839646
276,94,232417,0.0280459419366286
277,159,255517,0.0196128932490834
278,181,206800,0.0352112673409442
279,145,114292,0.0255458062362764
280,166,191426,0.0178923298135864
281,180,86035,0.0357951095925632
282,165,139877,0.0239483267430372
283,28,67415,0.0315475774157297
284,164,258858,0.0348553807771545
285,178,47762,0.0622578282521949
286,164,221557,0.047743387737037
287,158,177462,0.0200943906672507
288,137,321688,0.0190814045273677
289,167,72567,0.046726028329001
290,180,77514,0.0360218202889279
291,129,38020,0.0300747725860153
292,164,249916,0.0145897587435461
293,141,378327,0.014623158229423
294,128,309175,0.0095857374797872
295,171,41950,0.0448683644589425
296,148,235380,0.0107536746649218
297,152,170814,0.0419233851932795
298,153,329919,0.018396561082144
299,172,270203,0.0410440583290204
300,176,109132,0.0100044703331683
301,170,199647,0.0272301331538262
302,139,82529,0.022151778869889
303,168,327254,0.0193876168028476
