,Number_of_Unique_Hues,Pixels_Belong_To_Dominant_Hue,like_rate
215,180,672005,0.0247976686231474
216,178,672274,0.0294414580401969
217,161,448457,0.0159732042433569
218,68,370443,0.0785383098816052
219,179,689886,0.0277693504535441
220,181,646486,0.0220876802081266
221,179,106119,0.0284455060490319
222,170,247064,0.0181917346779731
223,174,488231,0.0162335592110776
224,167,395429,0.0189930057219424
225,178,191476,0.0354659194389315
226,176,237955,0.0263695599722103
227,64,411354,0.0262655426964384
228,158,190330,0.0236929871553896
229,168,318306,0.021588707754429
230,178,202267,0.0158356236833299
231,181,412464,0.0234734301540769
232,160,186873,0.0245581284334484
233,165,260662,0.0217305116333311
234,172,325781,0.0262992112352171
235,170,294919,0.0162833538698546
236,155,333227,0.0159538156634724
237,174,851699,0.0206821696158902
238,129,621044,0.0464799428000906
239,126,28341,0.0222823901558504
240,181,678344,0.020668543684698996
241,177,121601,0.013560826283128
242,177,164397,0.0157268467446977
243,168,387912,0.034535858989091006
244,171,155961,0.0172471747552182
245,156,275601,0.0352935113952196
246,174,474280,0.0119762625709389
247,144,309891,0.017552003164787
248,178,323142,0.0265533018504733
249,179,260676,0.042880012138122
250,177,477628,0.0155300160821607
251,167,439417,0.0196204698785226
252,163,142271,0.0417819239026675
253,180,194731,0.0238444241816251
254,179,195178,0.03361432882094
255,114,261167,0.0643520611479539
256,180,562061,0.0356896752072477
257,170,276602,0.022811220286456997
258,94,644635,0.1066920949699781
259,175,120548,0.0170490839143944
260,180,189143,0.041975232814235
261,156,189460,0.0245407634130243
262,171,191076,0.038016800310439
263,105,398950,0.0294446666814703
264,125,500795,0.0175225748962248
265,166,234484,0.0391834564532952
266,153,314945,0.0142953884450866
267,177,155857,0.0408216549953263
268,177,258864,0.0560250891508436
269,137,255371,0.0199029059679016
270,170,817359,0.0300351361373271
271,172,215703,0.0235605347055481
272,145,578707,0.0184374604191282
273,149,579618,0.0165880664738793
274,148,584592,0.0427110396269635
275,179,225117,0.0132641810839646
276,94,580656,0.0280459419366286
277,159,255517,0.0196128932490834
278,181,594351,0.0352112673409442
279,154,222340,0.0255458062362764
280,167,236752,0.0178923298135864
281,180,150358,0.0357951095925632
282,165,245999,0.0239483267430372
283,89,115748,0.0315475774157297
284,164,305752,0.0348553807771545
285,178,213468,0.0622578282521949
286,165,619292,0.047743387737037
287,158,180341,0.0200943906672507
288,137,486163,0.0190814045273677
289,167,646845,0.046726028329001
290,180,77576,0.0360218202889279
291,149,661649,0.0300747725860153
292,166,308888,0.0145897587435461
293,141,378616,0.014623158229423
294,128,309401,0.0095857374797872
295,172,318747,0.0448683644589425
296,148,270448,0.0107536746649218
297,152,535330,0.0419233851932795
298,153,396073,0.018396561082144
299,172,626294,0.0410440583290204
300,176,587267,0.0100044703331683
301,171,624163,0.0272301331538262
302,142,356929,0.022151778869889
303,168,390597,0.0193876168028476
304,157,288836,0.0146410642818352
305,154,159068,0.0187022062670327
306,167,264288,0.0182957689716974
307,180,246339,0.06804937539985301
308,172,387746,0.0254685615430109
309,174,147351,0.0208985049795219
310,180,242344,0.0401363847727045
311,179,562355,0.0374015483562601
312,173,550070,0.034218042342893995
313,177,350969,0.0206980596359821
314,178,413578,0.0304891728343308
315,172,107542,0.0173497619080983
316,161,473365,0.0137363352319859
317,151,280395,0.0103608811995688
318,176,291110,0.0197667931848673
319,167,278405,0.0147996525620427
320,147,198102,0.0104472666432551
321,165,122653,0.0138087975162713
322,169,107334,0.0202415789927373
323,146,330822,0.0182452117404815
324,159,240271,0.014713420558071998
325,170,418031,0.0583073741672273
326,165,174954,0.0165865933775987
327,150,130593,0.0269215526911477
328,181,383738,0.0641348135057566
329,168,131484,0.0290114309054395
330,156,248578,0.0140244173089954
331,172,156774,0.0161231421816254
332,159,188227,0.022469524268569
333,114,313920,0.0070990914352643
334,167,278416,0.0285131788852382
335,181,293305,0.0515553963681195
336,168,173416,0.0268713125880331
337,158,106455,0.0128929468799758
338,165,395962,0.0152502580060203
339,154,213789,0.0155303324065425
340,180,514833,0.0671198253358901
341,167,131480,0.0367748350522021
342,171,156280,0.024725029334831
343,147,353647,0.0225273379897439
344,145,251204,0.0154084060169529
345,156,690605,0.0214010430397139
346,149,116135,0.0891035350649548
347,152,146319,0.0427201976455411
348,120,490180,0.0232484162865661
349,174,519199,0.0476941474752182
350,169,263392,0.0160685410014765
351,176,559049,0.0591049259615011
352,162,303421,0.0298040783865122
353,178,190909,0.0282825960690175
354,169,156740,0.0224057338749634
355,136,195734,0.0180115016304225
356,138,643836,0.0661851047243615
357,180,576377,0.0597299097573069
358,167,294673,0.0311433923599929
359,173,815382,0.039183283200914
360,137,251196,0.0260675080302498
361,135,186497,0.0629938311917845
362,139,119322,0.0192696855469573
363,170,267958,0.0529040076942611
364,142,469669,0.0242036266510223
365,156,457249,0.0331358687953163
366,160,305926,0.0216546411210369
367,150,357357,0.0491505170282917
368,143,270191,0.0569020808379772
369,169,182189,0.0229221291074151
370,180,338897,0.0870883556651418
371,163,217252,0.0427870721070559
372,95,522085,0.1077194665152612
373,144,341560,0.0475583862890503
374,149,182718,0.0519195476761547
375,81,364546,0.22132830316580102
376,180,269227,0.0480371983794703
377,112,895188,0.3247600948564242
378,180,259411,0.0288873636818349
379,148,243871,0.0335155624478097
380,145,411656,0.0200499457230744
381,128,191517,0.0141331256047155
382,156,427017,0.0263902018439761
383,145,170589,0.0250152829670691
384,161,173073,0.0194034964112985
385,154,131053,0.0262527262736757
386,159,118617,0.0160487684830223
387,177,179188,0.039287867031314
388,166,119863,0.0306334864585509
389,146,126196,0.0182093659325787
390,166,147523,0.0117830426085016
391,157,1185049,0.1310412561074219
392,135,365326,0.0234007144254405
393,162,200461,0.0230751504730402
394,172,258494,0.0137443789201416
395,160,171908,0.0193832883913671
396,134,265895,0.0089938593749853
397,169,259564,0.0226977532062628
398,151,214008,0.0212744617510846
399,161,332706,0.0589712702813402
400,170,214509,0.0206026330019838
401,167,133657,0.0090503394774045
402,164,185012,0.0183698795878988
403,171,137259,0.0152040827124178
404,140,437412,0.0280316286435395
405,149,127678,0.0329605749756424
406,179,431899,0.123991187441556
407,170,274019,0.0234195094684968
408,180,81943,0.0331638862071839
409,142,180535,0.0210443687155948
410,156,71566,0.08104405712038
411,167,115917,0.0398057190775782
412,179,106176,0.040593886565345
413,175,188858,0.0243412554637855
414,145,259951,0.0188598839520591
415,172,159117,0.0153545239970413
416,178,242555,0.0259443594486676
417,147,164787,0.0247117043208008
418,102,422298,0.0167093751485582
419,158,183135,0.0232558691664523
420,174,245358,0.0565820957986038
421,152,359486,0.0224947221925374
422,163,421602,0.0253038915953157
423,170,245798,0.030395247470176003
424,170,162667,0.017473622707222
425,139,106056,0.0282048655959333
426,150,173730,0.0282483820984203
427,150,102975,0.0213880887647165
428,165,129448,0.0231648718720572
