,Wmc,Wmc2,Wmc3,Wmc4,Wmc5,Wmc6,Wmc7,Wmc8,Wmc9,Wmc10,Wmc11,Wmc12,Wmc13,Wmc14,Wmc15,Wmc16,Wmc17,Wmc18,Wmc19,Wmc20,Wmc21,Wmc22,Wmc23,Wmc24,Wmc25,Wmc26,Wmc27,Wmc28,Wmc29,Wmc30,Wmc31,Wmc32,Wmc33,Wmc34,Wmc35,Wmc36,Wmc37,Wmc38,Wmc39,Wmc40,Wmc41,Wmc42,Wmc43,Wmc44,Wmc45,Wmc46,Wmc47,Wmc48,Wmc49,Wmc50,Wmc51,Wmc52,Wmc53,Wmc54,Wmc55,Wmc56,Wmc57,Wmc58,Wmc59,Wmc60,Wmc61,Wmc62,Wmc63,Wmc64,Wmc65,Wmc66,Wmc67,Wmc68,Wmc69,Wmc70,Wmc71,Wmc72,Wmc73,Wmc74,Wmc75,Wmc76,Wmc77,Wmc78,Wmc79,Wmc80,Wmc81,Wmc82,Wmc83,Wmc84,Wmc85,Wmc86,Wmc87,Wmc88,Wmc89,Wmc90,Wmc91,Wmc92,Wmc93,Wmc94,Wmc95,Wmc96,Wmc97,Wmc98,Wmc99,Wmc100,Wmc101,Wmc102,Wmc103,Wmc104,Wmc105,Wmc106,Wmc107,Wmc108,Wmc109,Wmc110,Wmc111,Wmc112,Wmc113,Wmc114,Wmc115,Wmc116,Wmc117,Wmc118,Wmc119,Wmc120,Wmc121,Wmc122,Wmc123,Wmc124,Wmc125,Wmc126,Wmc127,Wmc128,Wmc129,Wmc130,Wmc131,Wmc132,Wmc133,Wmc134,Wmc135,Wmc136,Wmc137,Wmc138,Wmc139,Wmc140,Wmc141,Wmc142,Wmc143,Wmc144,Wmc145,Wmc146,Wmc147,Wmc148,Wmc149,Wmc150
732,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,1,0,0,0,0,3,4,0,1,2,0,2,1,2,3,2,0,2,3,17,35,25,12,14,28,17,10,4,11,665,22,20,27,24,40,52,63,66,106,92,131,149,219,240,359,470,702,938,1311,2067,3528,9056,93846,9194,3515,2181,1497,1046,766,532,399,293,231,188,140,94,88,77,69,90,82,31,25,18,17,16,8,8,6,7,0,4,4,1,5,2,2,1,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
731,1,0,0,1,0,1,2,0,1,1,4,2,2,6,2,2,7,9,8,6,3,9,9,19,11,25,21,23,37,34,39,41,53,43,62,76,69,83,105,102,119,144,161,181,219,236,273,287,353,418,431,529,650,758,959,1056,1303,1494,1740,2087,2468,2876,3522,4301,5185,6700,8687,10381,12744,16680,23069,34543,63422,608140,230384,58495,33973,22693,16325,11890,9055,7052,5525,4326,3578,2943,2309,1916,1585,1300,1126,913,809,640,543,483,404,339,309,259,207,220,195,171,148,137,126,97,112,81,83,44,63,61,59,45,44,41,30,30,26,22,21,22,20,13,17,6,10,10,6,10,11,5,11,3,1,2,1,4,2,1,2,0,2,0,2,1,0,1
730,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,2,3,2,2,0,1,2,1,2,2,3,6,6,18,173,145,23,14,6,8,7,7,15,13,17,21,19,30,33,45,36,46,48,59,51,79,92,97,119,122,154,150,188,226,237,270,318,370,464,607,710,1054,1305,2130,3418,14166,5714,2822,1745,1223,926,658,522,423,350,291,251,188,175,165,130,116,83,81,74,51,56,52,44,41,23,31,21,29,14,22,11,16,13,6,8,10,6,4,4,4,3,3,4,4,3,3,1,0,1,2,2,2,0,1,1,2,2,0,0,1,0,0,1,0,1
729,1,0,1,1,0,1,0,1,1,0,1,2,1,3,1,3,4,3,3,0,4,6,8,9,10,11,12,16,16,13,16,22,25,14,25,33,40,40,45,36,35,53,50,60,79,77,73,103,84,125,142,146,169,183,207,245,271,287,345,403,522,553,676,743,885,963,1148,1372,1704,2057,2645,3117,3806,4867,6338,8444,12325,18702,41470,160439,32062,17097,11034,7943,5930,4575,3721,2953,2445,1930,1560,1322,1071,897,810,645,534,523,404,360,306,272,224,166,131,130,115,106,85,76,68,55,45,33,30,35,27,29,32,24,16,23,12,5,8,14,3,8,1,3,6,6,4,5,1,6,1,5,2,3,1,2,0,1,2,0,0,0,0,1
728,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,3,1,2,2,3,4,5,5,7,3,7,13,15,19,23,24,23,26,932,75,65,78,135,173,205,218,253,298,340,408,504,633,799,1019,1441,2091,2959,4438,7442,13665,33120,257965,100145,23876,11112,6393,4054,2662,1775,1272,954,728,588,473,421,330,331,255,174,168,146,129,115,86,77,53,44,24,19,25,17,9,9,11,10,13,7,9,4,9,7,14,4,2,6,5,0,0,0,1,0,1,1,0,0,0,0,0,1
727,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,1,2,1,3,2,4,9,8,3,6,6,7,6,8,5,7,8,10,7,7,9,13,14,12,11,12,12,20,44,18,24,43,35,52,51,80,114,89,94,71,66,73,81,79,82,117,141,183,254,346,454,724,1459,3765,35886,8238,2223,1038,634,380,254,193,131,69,75,59,53,30,18,27,23,20,17,20,22,39,48,39,9,15,12,21,19,19,13,10,11,14,5,12,8,6,9,11,5,5,9,10,5,7,7,3,2,5,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,1,6,15
726,1,0,0,0,1,1,0,2,0,4,1,1,4,2,2,2,3,2,2,3,4,2,5,9,7,3,5,9,6,12,13,8,18,26,26,38,37,37,50,56,66,53,84,93,118,144,168,197,230,268,322,358,390,491,553,619,720,883,1082,2561,1380,1626,1918,2358,2898,3311,4143,5181,6390,8168,10311,13498,18581,26578,43801,187098,91744,39883,25145,17366,13074,9885,7519,6008,4838,3895,3251,2655,2145,1967,1564,1392,1188,1089,870,777,689,595,538,464,392,310,269,252,199,150,144,115,110,73,89,62,44,37,36,29,28,19,20,15,19,15,10,6,3,6,6,8,9,4,4,3,2,3,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
725,2,2,1,0,0,0,1,5,2,7,7,6,11,9,8,8,11,9,19,16,28,26,31,34,45,32,41,69,73,92,102,102,119,134,171,146,188,181,213,263,270,312,335,410,403,452,459,576,603,620,685,748,859,933,1115,1114,1358,1545,1652,1970,2184,2767,3068,3803,4307,5746,6370,8826,12011,16178,60788,20670,14023,9425,7575,5948,5187,4065,3235,2987,2257,1954,1606,1519,1247,1083,1018,791,770,612,661,489,498,404,392,355,310,311,290,225,195,210,185,152,129,113,114,117,71,54,62,55,49,39,33,37,21,23,19,25,11,11,13,9,9,7,5,4,6,3,4,5,2,5,4,0,0,1,1,1,1,2,0,0,0,0,0,0,0,1
724,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,3,5,1,3,4,0,6,2,2,5,6,6,17,13,9,17,21,19,18,29,42,46,59,38,55,61,73,94,117,177,154,204,262,321,451,749,639,597,639,683,733,885,982,1193,1413,1716,2077,2528,3113,3840,4888,6104,8124,10761,14434,21027,32510,58706,278852,167034,55556,32170,20539,14499,10659,7975,6111,4934,3917,3168,2567,2160,1645,1406,1161,961,775,715,541,482,380,360,312,254,215,188,151,113,121,102,94,64,64,56,56,50,37,24,24,13,19,15,15,2,7,8,5,2,3,3,2,2,2,2,1,0,2,1
723,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,2,2,0,1,0,2,2,4,5,5,1,7,4,4,9,10,14,15,16,18,21,34,40,44,56,70,72,97,659,221,175,225,268,335,508,503,671,738,859,1110,1380,1752,2410,3338,4889,6912,10342,18045,42381,271088,83730,25680,13079,8058,5393,3904,3033,2263,1635,1252,1002,810,626,515,423,356,309,277,244,207,169,143,111,120,79,89,71,53,53,51,37,35,31,27,22,22,23,16,9,8,4,4,7,7,3,6,6,7,3,3,4,3,8,4,6,1,2,2,11,2,4,4,6,1,1,2,1
