,michelson_contrast
150,1.0
151,1.0
152,0.5741057838660577
153,0.9480909480909483
154,0.8731656184486372
155,1.0
156,0.9868706597222223
157,1.0
158,0.7442632850241546
159,0.9868706597222223
160,1.0
161,0.9736383442265795
162,0.9609173126614987
163,0.9397110114598903
164,1.0
165,1.0
166,0.32141605327725187
167,0.9866622574955908
168,0.47691317144959533
169,1.0
170,1.0
171,0.8973706530958439
172,0.8369610281923714
173,0.9864471326164872
174,1.0
175,0.9868706597222223
176,0.8104636591478696
177,1.0
178,0.8854166666666665
179,1.0
180,0.8472222222222223
181,0.4675467546754677
182,1.0
183,0.6567879499217528
184,0.7669302514193024
185,1.0
186,0.8854166666666665
187,0.9353632478632479
188,1.0
189,1.0
190,0.5442561205273069
191,1.0
192,1.0
193,1.0
194,0.7442632850241546
195,1.0
196,0.9609173126614987
197,0.9609173126614987
198,1.0
199,1.0
200,0.9868191721132895
201,1.0
202,1.0
203,0.6890075128509292
204,1.0
205,1.0
206,1.0
207,1.0
208,1.0
209,1.0
210,0.9738434932987461
211,1.0
212,1.0
213,1.0
214,0.9732182381584775
215,1.0
216,0.7321823815847721
217,1.0
218,1.0
219,0.9868191721132895
220,1.0
221,1.0
222,1.0
223,0.9253086419753087
224,0.9609173126614987
225,1.0
226,0.9866091190792385
227,0.6890075128509292
228,1.0
229,1.0
230,0.8610066833751044
231,0.9224358974358977
232,1.0
233,1.0
234,1.0
235,1.0
236,1.0
237,1.0
238,1.0
239,1.0
240,0.6999007936507935
241,1.0
242,1.0
243,1.0
244,1.0
245,0.9867149758454108
246,1.0
247,0.505388331475288
248,1.0
249,0.6252419667053812
250,0.9868706597222223
251,1.0
252,0.9609173126614987
253,1.0
254,1.0
255,0.7330525471319695
256,1.0
257,1.0
258,1.0
259,0.9101993214588635
260,1.0
261,0.9868706597222223
262,1.0
263,1.0
264,0.9480909480909483
265,1.0
266,1.0
267,0.9868191721132895
268,1.0
269,1.0
270,0.9868706597222223
271,1.0
272,1.0
273,1.0
274,1.0
275,0.9868706597222223
276,1.0
277,1.0
278,1.0
279,1.0
280,0.9101993214588635
281,1.0
282,0.7669302514193024
283,0.9868706597222223
284,1.0
285,1.0
286,1.0
287,1.0
288,0.9609173126614987
289,1.0
290,1.0
291,1.0
292,1.0
293,1.0
294,1.0
295,1.0
296,1.0
297,0.8731656184486372
298,1.0
299,1.0
300,0.7442632850241546
301,0.9868706597222223
302,0.9738434932987461
303,1.0
304,1.0
305,1.0
306,0.9868191721132895
307,0.897760878749472
308,1.0
309,1.0
310,1.0
311,0.9853864734299518
312,1.0
313,0.7330525471319695
314,1.0
315,1.0
316,1.0
317,1.0
318,0.8250722841800908
319,1.0
320,0.9478897502153316
321,0.9464364763169546
322,1.0
323,0.30893042575285556
324,1.0
325,1.0
326,0.3172743055555556
327,1.0
328,1.0
329,1.0
330,1.0
331,1.0
332,0.21271271271271275
333,1.0
334,0.01967592592592593
335,0.8250722841800908
336,1.0
337,0.9353632478632479
338,0.7970649895178197
339,1.0
340,1.0
341,0.43981481481481466
342,1.0
343,1.0
344,1.0
345,1.0
346,1.0
347,0.9868706597222223
348,1.0
349,1.0
350,1.0
351,1.0
352,1.0
353,1.0
354,1.0
355,1.0
356,1.0
357,1.0
358,1.0
359,1.0
360,1.0
361,1.0
362,1.0
363,1.0
364,1.0
365,1.0
366,1.0
367,1.0
368,1.0
369,1.0
370,1.0
371,1.0
372,0.9868706597222223
373,1.0
374,1.0
375,1.0
376,1.0
377,1.0
378,1.0
379,1.0
380,1.0
381,1.0
382,1.0
383,1.0
384,1.0
385,1.0
386,1.0
387,1.0
388,1.0
389,1.0
390,1.0
391,1.0
392,1.0
393,1.0
394,1.0
395,1.0
396,1.0
397,1.0
398,1.0
399,1.0
400,1.0
401,1.0
402,1.0
403,1.0
404,1.0
405,1.0
406,1.0
407,1.0
408,1.0
409,1.0
410,1.0
411,1.0
412,1.0
413,1.0
414,1.0
415,0.9609173126614987
416,1.0
417,1.0
418,1.0
419,1.0
420,1.0
421,1.0
422,0.9868191721132895
423,1.0
424,1.0
425,1.0
426,1.0
427,1.0
428,1.0
429,1.0
430,1.0
431,0.9738434932987461
432,1.0
433,1.0
434,1.0
435,1.0
436,1.0
437,1.0
438,1.0
439,1.0
440,1.0
441,1.0
442,1.0
443,1.0
444,1.0
445,1.0
446,1.0
447,1.0
448,1.0
449,1.0
450,1.0
451,1.0
452,1.0
453,1.0
454,1.0
455,1.0
456,1.0
457,1.0
458,1.0
459,1.0
460,1.0
461,0.9738434932987461
462,1.0
463,1.0
464,1.0
465,0.9868706597222223
466,1.0
467,1.0
468,1.0
469,1.0
470,1.0
471,1.0
472,1.0
473,1.0
474,1.0
475,1.0
476,1.0
477,1.0
478,1.0
479,1.0
480,1.0
481,1.0
482,1.0
483,1.0
484,1.0
485,1.0
486,1.0
487,1.0
488,1.0
489,0.9738434932987461
490,1.0
491,0.8466413181242078
492,1.0
493,1.0
494,1.0
495,1.0
496,1.0
497,1.0
498,1.0
499,1.0
500,0.935113685113685
501,1.0
502,1.0
503,1.0
504,1.0
505,1.0
506,1.0
507,1.0
508,1.0
509,1.0
510,1.0
511,1.0
512,1.0
513,1.0
514,1.0
515,1.0
516,1.0
517,1.0
518,1.0
519,1.0
520,1.0
521,1.0
522,1.0
523,0.9868706597222223
524,1.0
525,1.0
526,0.9868191721132895
527,1.0
528,0.909855257556407
529,1.0
530,1.0
531,1.0
532,0.9867149758454108
533,1.0
534,1.0
535,1.0
536,0.9737413194444444
537,1.0
538,1.0
539,1.0
540,1.0
541,1.0
